model,model_family,split,feature_set,n_bins,strategy,alpha,k,weighting,original_pairs,directional_rows,users,accuracy,macro_user_accuracy,median_user_accuracy,p10_user_accuracy,p25_user_accuracy,p75_user_accuracy,p90_user_accuracy,auc,brier_score,log_loss,mean_forward_probability
mf_baseline,matrix_factorization,train_sample,mf_margin,,,,,,300000,600000,4717,0.9390766666666667,0.947161340947218,0.9583333333333334,0.875,0.9210526315789473,1.0,1.0,0.9851159281555555,0.05097449690952173,0.1851887533661549,0.8617014043554678
mf_baseline,matrix_factorization,validation,mf_margin,,,,,,478098,956196,4158,0.8084325807679597,0.7576079589130686,0.8024366760479928,0.4835877261998427,0.6553793103448275,0.9285714285714286,1.0,0.8960241608821591,0.13118579487329518,0.4040748065967444,0.741683043924397
mf_baseline,matrix_factorization,test,mf_margin,,,,,,507550,1015100,4164,0.817919416806226,0.7741385257326419,0.8210941490267295,0.5,0.6666666666666666,0.9375,1.0,0.9030741138451779,0.12610979854879983,0.3943581655510834,0.7533575702800159
