feature_set,candidates,best_macro_user_accuracy,best_accuracy,best_auc,best_brier_score,best_log_loss
user_item_interactions,8,0.7483600636549447,0.8005722676104062,0.8894842486961949,0.16744759530091846,1.0351699011489672
personalized_difference,8,0.7321272503330449,0.7870687599613468,0.8777526903284765,0.1996172780897678,2.9620251140263787
full_embedding_features,8,0.7319072402320151,0.7862091035729076,0.8749128508808656,0.20683134099321454,4.196821649544693
item_vectors,8,0.708298962396279,0.7684826123514426,0.8574462609976443,0.21693519173214043,2.828548715058014
item_difference,8,0.7081607499136042,0.7697145773460671,0.8593354058902842,0.2137104721631088,2.568090977815595
user_vector,8,0.0,0.0,0.35110250236021096,0.2500000048286698,0.6931471902172849
