model,model_family,split,feature_set,n_bins,strategy,alpha,k,weighting,original_pairs,directional_rows,users,accuracy,macro_user_accuracy,median_user_accuracy,p10_user_accuracy,p25_user_accuracy,p75_user_accuracy,p90_user_accuracy,auc,brier_score,log_loss,mean_forward_probability
rating_user_knn_k_50_uniform,rating_user_knn,train_sample,centered_train_ratings,,,,50,uniform,300000,600000,4717,0.9126166666666666,0.9324044575837817,0.9405940594059405,0.849403446752099,0.8947368421052632,1.0,1.0,0.9692255863722221,0.09857252806890963,0.3496974240588098,0.7243083617486124
rating_user_knn_k_50_uniform,rating_user_knn,validation,centered_train_ratings,,,,50,uniform,478098,956196,4158,0.7734104723299408,0.7065575533035746,0.75,0.4,0.5719047619047619,0.8822910216718266,1.0,0.855531035645001,0.16302912113906165,0.49890508666306865,0.6379379499845423
rating_user_knn_k_50_uniform,rating_user_knn,test,centered_train_ratings,,,,50,uniform,507550,1015100,4164,0.7787252487439661,0.7139915944071419,0.7581531371853952,0.4,0.5866346153846154,0.890625,1.0,0.8597843408468682,0.15942381436324582,0.49020149354215603,0.6460405414090236
