model,model_family,split,feature_set,n_bins,strategy,alpha,k,weighting,original_pairs,directional_rows,users,accuracy,macro_user_accuracy,median_user_accuracy,p10_user_accuracy,p25_user_accuracy,p75_user_accuracy,p90_user_accuracy,auc,brier_score,log_loss,mean_forward_probability,mean_reverse_probability,mean_symmetric_probability,mean_raw_forward_probability,mean_raw_reverse_probability,antisymmetry_error
mf_baseline,matrix_factorization,test,mf_margin,,,,,,507550,1015100,4164,0.817919416806226,0.7741385257326419,0.8210941490267295,0.5,0.6666666666666666,0.9375,1.0,0.9030741138451779,0.12610979854879983,0.3943581655510834,0.7533575702800159,,,,,
bayes_user_item_interactions,bayesian_categorical_nb,test,user_item_interactions,16,quantile,0.1,,,507550,1015100,4164,0.8116047680031524,0.7652935116713468,0.8125,0.5,0.6666666666666666,0.9333333333333333,1.0,0.8979726023014456,0.17050487345909307,1.6681274980975325,0.8096545338630676,0.1902143806219101,0.8097200989723206,0.8096545338630676,0.1902143806219101,0.005556038580834866
rating_user_knn_k_50_uniform,rating_user_knn,test,centered_train_ratings,,,,50,uniform,507550,1015100,4164,0.7787252487439661,0.7139915944071419,0.7581531371853952,0.4,0.5866346153846154,0.890625,1.0,0.8597843408468682,0.15942381436324582,0.49020149354215603,0.6460405414090236,,,,,
mf_baseline,matrix_factorization,train_sample,mf_margin,,,,,,300000,600000,4717,0.9390766666666667,0.947161340947218,0.9583333333333334,0.875,0.9210526315789473,1.0,1.0,0.9851159281555555,0.05097449690952173,0.1851887533661549,0.8617014043554678,,,,,
rating_user_knn_k_50_uniform,rating_user_knn,train_sample,centered_train_ratings,,,,50,uniform,300000,600000,4717,0.9126166666666666,0.9324044575837817,0.9405940594059405,0.849403446752099,0.8947368421052632,1.0,1.0,0.9692255863722221,0.09857252806890963,0.3496974240588098,0.7243083617486124,,,,,
bayes_user_item_interactions,bayesian_categorical_nb,train_sample,user_item_interactions,16,quantile,0.1,,,300000,600000,4717,0.9194566666666667,0.9279878091471402,0.9365079365079365,0.8514851485148515,0.8947368421052632,0.9733333333333334,1.0,0.9733385325999998,0.07121824192487647,0.5796763393623721,0.9169641733169556,0.08270209282636642,0.9171310663223267,0.9169641733169556,0.08270209282636642,0.003362619085237384
mf_baseline,matrix_factorization,validation,mf_margin,,,,,,478098,956196,4158,0.8084325807679597,0.7576079589130686,0.8024366760479928,0.4835877261998427,0.6553793103448275,0.9285714285714286,1.0,0.8960241608821591,0.13118579487329518,0.4040748065967444,0.741683043924397,,,,,
bayes_user_item_interactions,bayesian_categorical_nb,validation,user_item_interactions,16,quantile,0.1,,,478098,956196,4158,0.8004530451915716,0.7483600636549447,0.8,0.4444444444444444,0.6361024033437827,0.9278548387096774,1.0,0.8894842486961949,0.17991610409466707,1.658191499679987,0.7984878420829773,0.20153096318244934,0.7984784245491028,0.7984878420829773,0.20153096318244934,0.006076065357774496
rating_user_knn_k_50_uniform,rating_user_knn,validation,centered_train_ratings,,,,50,uniform,478098,956196,4158,0.7734104723299408,0.7065575533035746,0.75,0.4,0.5719047619047619,0.8822910216718266,1.0,0.855531035645001,0.16302912113906165,0.49890508666306865,0.6379379499845423,,,,,
