model,model_family,split,feature_set,accuracy,macro_user_accuracy,auc,brier_score,log_loss,mean_forward_probability,n_bins,strategy,alpha,k,weighting
mf_baseline,matrix_factorization,test,mf_margin,0.817919416806226,0.7741385257326419,0.9030741138451779,0.12610979854879983,0.3943581655510834,0.7533575702800159,,,,,
bayes_user_item_interactions,bayesian_categorical_nb,test,user_item_interactions,0.8116047680031524,0.7652935116713468,0.8979726023014456,0.17050487345909307,1.6681274980975325,0.8096545338630676,16,quantile,0.1,,
rating_user_knn_k_50_uniform,rating_user_knn,test,centered_train_ratings,0.7787252487439661,0.7139915944071419,0.8597843408468682,0.15942381436324582,0.49020149354215603,0.6460405414090236,,,,50,uniform
mf_baseline,matrix_factorization,train_sample,mf_margin,0.9390766666666667,0.947161340947218,0.9851159281555555,0.05097449690952173,0.1851887533661549,0.8617014043554678,,,,,
rating_user_knn_k_50_uniform,rating_user_knn,train_sample,centered_train_ratings,0.9126166666666666,0.9324044575837817,0.9692255863722221,0.09857252806890963,0.3496974240588098,0.7243083617486124,,,,50,uniform
bayes_user_item_interactions,bayesian_categorical_nb,train_sample,user_item_interactions,0.9194566666666667,0.9279878091471402,0.9733385325999998,0.07121824192487647,0.5796763393623721,0.9169641733169556,16,quantile,0.1,,
mf_baseline,matrix_factorization,validation,mf_margin,0.8084325807679597,0.7576079589130686,0.8960241608821591,0.13118579487329518,0.4040748065967444,0.741683043924397,,,,,
bayes_user_item_interactions,bayesian_categorical_nb,validation,user_item_interactions,0.8004530451915716,0.7483600636549447,0.8894842486961949,0.17991610409466707,1.658191499679987,0.7984878420829773,16,quantile,0.1,,
rating_user_knn_k_50_uniform,rating_user_knn,validation,centered_train_ratings,0.7734104723299408,0.7065575533035746,0.855531035645001,0.16302912113906165,0.49890508666306865,0.6379379499845423,,,,50,uniform
