model,model_family,split,feature_set,brier_score,log_loss,mean_forward_probability
mf_baseline,matrix_factorization,test,mf_margin,0.12610979854879983,0.3943581655510834,0.7533575702800159
bayes_user_item_interactions,bayesian_categorical_nb,test,user_item_interactions,0.17050487345909307,1.6681274980975325,0.8096545338630676
rating_user_knn_k_50_uniform,rating_user_knn,test,centered_train_ratings,0.15942381436324582,0.49020149354215603,0.6460405414090236
mf_baseline,matrix_factorization,train_sample,mf_margin,0.05097449690952173,0.1851887533661549,0.8617014043554678
rating_user_knn_k_50_uniform,rating_user_knn,train_sample,centered_train_ratings,0.09857252806890963,0.3496974240588098,0.7243083617486124
bayes_user_item_interactions,bayesian_categorical_nb,train_sample,user_item_interactions,0.07121824192487647,0.5796763393623721,0.9169641733169556
mf_baseline,matrix_factorization,validation,mf_margin,0.13118579487329518,0.4040748065967444,0.741683043924397
bayes_user_item_interactions,bayesian_categorical_nb,validation,user_item_interactions,0.17991610409466707,1.658191499679987,0.7984878420829773
rating_user_knn_k_50_uniform,rating_user_knn,validation,centered_train_ratings,0.16302912113906165,0.49890508666306865,0.6379379499845423
