run_key,space_name,dimensions,preprocessing,metric,min_samples,eps_percentile,eps,n_points,n_clusters,noise_count,noise_share,clustered_count,clustered_share,largest_cluster_size,largest_cluster_share_all,largest_cluster_share_clustered,smallest_cluster_size,median_cluster_size,mean_cluster_size
item_run_0505,item_pca30_l2_cosine,30,pca30_l2,cosine,16,45.0,0.252073,3250,2,1308,0.4024615384615385,1942,0.5975384615384616,1052,0.32369230769230767,0.5417095777548918,890,971.0,971.0
item_run_0845,item_standardized_l2_cosine,64,standardized_l2,cosine,128,35.0,0.363612,3250,2,1328,0.4086153846153846,1922,0.5913846153846154,1044,0.3212307692307692,0.5431841831425598,878,961.0,961.0
item_run_0277,item_pca20_l2_cosine,20,pca20_l2,cosine,11,45.0,0.185317,3250,2,1338,0.4116923076923077,1912,0.5883076923076923,1033,0.31784615384615383,0.5402719665271967,879,956.0,956.0
item_run_0029,item_l2_cosine,64,l2,cosine,33,40.0,0.34634,3250,2,1342,0.41292307692307695,1908,0.587076923076923,1324,0.4073846153846154,0.6939203354297694,584,954.0,954.0
item_run_0523,item_pca30_l2_cosine,30,pca30_l2,cosine,31,40.0,0.249614,3250,2,1390,0.4276923076923077,1860,0.5723076923076923,1017,0.3129230769230769,0.5467741935483871,843,930.0,930.0
item_run_0124,item_pca10_l2_cosine,10,pca10_l2,cosine,20,40.0,0.098481,3250,2,1410,0.4338461538461538,1840,0.5661538461538461,1000,0.3076923076923077,0.5434782608695652,840,920.0,920.0
item_run_0295,item_pca20_l2_cosine,20,pca20_l2,cosine,21,40.0,0.184184,3250,2,1416,0.4356923076923077,1834,0.5643076923076923,1001,0.308,0.5458015267175572,833,917.0,917.0
item_run_0808,item_standardized_l2_cosine,64,standardized_l2,cosine,33,40.0,0.334184,3250,2,1423,0.43784615384615383,1827,0.5621538461538461,1011,0.3110769230769231,0.5533661740558292,816,913.5,913.5
item_run_0541,item_pca30_l2_cosine,30,pca30_l2,cosine,60,35.0,0.249234,3250,2,1451,0.44646153846153847,1799,0.5535384615384615,1000,0.3076923076923077,0.5558643690939411,799,899.5,899.5
item_run_0047,item_l2_cosine,64,l2,cosine,65,35.0,0.339957,3250,2,1470,0.4523076923076923,1780,0.5476923076923077,1271,0.3910769230769231,0.7140449438202248,509,890.0,890.0
item_run_0826,item_standardized_l2_cosine,64,standardized_l2,cosine,65,35.0,0.330443,3250,2,1484,0.4566153846153846,1766,0.5433846153846154,987,0.3036923076923077,0.5588901472253681,779,883.0,883.0
item_run_0105,item_pca10_l2_cosine,10,pca10_l2,cosine,11,40.0,0.084055,3250,2,1491,0.45876923076923076,1759,0.5412307692307692,959,0.29507692307692307,0.5451961341671404,800,879.5,879.5
item_run_0313,item_pca20_l2_cosine,20,pca20_l2,cosine,40,35.0,0.185665,3250,2,1498,0.46092307692307694,1752,0.5390769230769231,967,0.29753846153846153,0.5519406392694064,785,876.0,876.0
item_run_0504,item_pca30_l2_cosine,30,pca30_l2,cosine,16,40.0,0.227653,3250,2,1519,0.4673846153846154,1731,0.5326153846153846,974,0.2996923076923077,0.5626805314846909,757,865.5,865.5
item_run_0276,item_pca20_l2_cosine,20,pca20_l2,cosine,11,40.0,0.166963,3250,2,1527,0.46984615384615386,1723,0.5301538461538462,959,0.29507692307692307,0.5565873476494486,764,861.5,861.5
item_run_0844,item_standardized_l2_cosine,64,standardized_l2,cosine,128,30.0,0.329094,3250,2,1542,0.47446153846153843,1708,0.5255384615384615,973,0.29938461538461536,0.569672131147541,735,854.0,854.0
item_run_0065,item_l2_cosine,64,l2,cosine,128,30.0,0.338557,3250,2,1563,0.4809230769230769,1687,0.5190769230769231,1258,0.3870769230769231,0.7457024303497333,429,843.5,843.5
item_run_0522,item_pca30_l2_cosine,30,pca30_l2,cosine,31,35.0,0.225656,3250,2,1577,0.48523076923076924,1673,0.5147692307692308,952,0.2929230769230769,0.5690376569037657,721,836.5,836.5
item_run_0123,item_pca10_l2_cosine,10,pca10_l2,cosine,20,35.0,0.086155,3250,2,1578,0.48553846153846153,1672,0.5144615384615384,940,0.28923076923076924,0.562200956937799,732,836.0,836.0
item_run_0294,item_pca20_l2_cosine,20,pca20_l2,cosine,21,35.0,0.166042,3250,2,1599,0.492,1651,0.508,935,0.2876923076923077,0.5663234403391884,716,825.5,825.5
item_run_0028,item_l2_cosine,64,l2,cosine,33,35.0,0.310994,3250,2,1611,0.4956923076923077,1639,0.5043076923076923,1193,0.3670769230769231,0.7278828553996339,446,819.5,819.5
item_run_0807,item_standardized_l2_cosine,64,standardized_l2,cosine,33,35.0,0.304462,3250,2,1621,0.49876923076923074,1629,0.5012307692307693,935,0.2876923076923077,0.5739717618170657,694,814.5,814.5
item_run_0540,item_pca30_l2_cosine,30,pca30_l2,cosine,60,30.0,0.221491,3250,2,1645,0.5061538461538462,1605,0.4938461538461538,933,0.28707692307692306,0.5813084112149532,672,802.5,802.5
item_run_0503,item_pca30_l2_cosine,30,pca30_l2,cosine,16,35.0,0.207397,3250,2,1672,0.5144615384615384,1578,0.48553846153846153,909,0.2796923076923077,0.5760456273764258,669,789.0,789.0
item_run_0312,item_pca20_l2_cosine,20,pca20_l2,cosine,40,30.0,0.16185,3250,2,1687,0.5190769230769231,1563,0.4809230769230769,903,0.27784615384615385,0.5777351247600768,660,781.5,781.5
item_run_0104,item_pca10_l2_cosine,10,pca10_l2,cosine,11,35.0,0.073088,3250,2,1691,0.5203076923076924,1559,0.4796923076923077,886,0.2726153846153846,0.568313021167415,673,779.5,779.5
item_run_0825,item_standardized_l2_cosine,64,standardized_l2,cosine,65,30.0,0.296864,3250,2,1703,0.524,1547,0.476,905,0.2784615384615385,0.5850032320620556,642,773.5,773.5
item_run_0275,item_pca20_l2_cosine,20,pca20_l2,cosine,11,35.0,0.147863,3250,2,1705,0.5246153846153846,1545,0.4753846153846154,892,0.2744615384615385,0.5773462783171521,653,772.5,772.5
item_run_0046,item_l2_cosine,64,l2,cosine,65,30.0,0.302612,3250,2,1727,0.5313846153846153,1523,0.4686153846153846,1153,0.3547692307692308,0.7570584372948129,370,761.5,761.5
item_run_0521,item_pca30_l2_cosine,30,pca30_l2,cosine,31,30.0,0.199866,3250,2,1753,0.5393846153846154,1497,0.4606153846153846,887,0.27292307692307693,0.5925183700734803,610,748.5,748.5
item_run_0843,item_standardized_l2_cosine,64,standardized_l2,cosine,128,25.0,0.29368,3250,2,1757,0.5406153846153846,1493,0.4593846153846154,888,0.2732307692307692,0.594775619557937,605,746.5,746.5
item_run_0122,item_pca10_l2_cosine,10,pca10_l2,cosine,20,30.0,0.073426,3250,2,1768,0.544,1482,0.456,859,0.2643076923076923,0.5796221322537112,623,741.0,741.0
item_run_0460,item_pca20_standardized_l2_cosine,20,pca20_standardized_l2,cosine,40,10.0,0.448963,3250,2,1786,0.5495384615384615,1464,0.45046153846153847,1124,0.34584615384615386,0.76775956284153,340,732.0,732.0
item_run_0293,item_pca20_l2_cosine,20,pca20_l2,cosine,21,30.0,0.144256,3250,2,1789,0.5504615384615384,1461,0.44953846153846155,867,0.26676923076923076,0.5934291581108829,594,730.5,730.5
item_run_0806,item_standardized_l2_cosine,64,standardized_l2,cosine,33,30.0,0.27078,3250,2,1829,0.5627692307692308,1421,0.43723076923076926,850,0.26153846153846155,0.5981703026038001,571,710.5,710.5
item_run_0539,item_pca30_l2_cosine,30,pca30_l2,cosine,60,25.0,0.194108,3250,2,1836,0.564923076923077,1414,0.4350769230769231,863,0.26553846153846156,0.6103253182461104,551,707.0,707.0
item_run_0027,item_l2_cosine,64,l2,cosine,33,30.0,0.274836,3250,2,1854,0.5704615384615385,1396,0.42953846153846154,1083,0.3332307692307692,0.7757879656160458,313,698.0,698.0
item_run_0502,item_pca30_l2_cosine,30,pca30_l2,cosine,16,30.0,0.181436,3250,2,1859,0.572,1391,0.428,840,0.25846153846153846,0.603882099209202,551,695.5,695.5
item_run_0103,item_pca10_l2_cosine,10,pca10_l2,cosine,11,30.0,0.063005,3250,2,1868,0.5747692307692308,1382,0.42523076923076925,817,0.2513846153846154,0.5911722141823444,565,691.0,691.0
item_run_0064,item_l2_cosine,64,l2,cosine,128,25.0,0.290626,3250,2,1885,0.58,1365,0.42,1097,0.33753846153846156,0.8036630036630037,268,682.5,682.5
item_run_0274,item_pca20_l2_cosine,20,pca20_l2,cosine,11,30.0,0.130376,3250,2,1901,0.5849230769230769,1349,0.41507692307692307,814,0.25046153846153846,0.603409933283914,535,674.5,674.5
item_run_0311,item_pca20_l2_cosine,20,pca20_l2,cosine,40,25.0,0.140032,3250,2,1906,0.5864615384615385,1344,0.4135384615384615,829,0.2550769230769231,0.6168154761904762,515,672.0,672.0
item_run_0824,item_standardized_l2_cosine,64,standardized_l2,cosine,65,25.0,0.261052,3250,2,1917,0.5898461538461538,1333,0.41015384615384615,819,0.252,0.614403600900225,514,666.5,666.5
item_run_0121,item_pca10_l2_cosine,10,pca10_l2,cosine,20,25.0,0.062617,3250,2,1969,0.6058461538461538,1281,0.39415384615384613,785,0.24153846153846154,0.6128024980483997,496,640.5,640.5
item_run_0045,item_l2_cosine,64,l2,cosine,65,25.0,0.262226,3250,2,1979,0.6089230769230769,1271,0.3910769230769231,1024,0.3150769230769231,0.8056648308418568,247,635.5,635.5
item_run_0842,item_standardized_l2_cosine,64,standardized_l2,cosine,128,20.0,0.254979,3250,2,1994,0.6135384615384616,1256,0.38646153846153847,796,0.2449230769230769,0.6337579617834395,460,628.0,628.0
item_run_0520,item_pca30_l2_cosine,30,pca30_l2,cosine,31,25.0,0.171511,3250,2,1997,0.6144615384615385,1253,0.38553846153846155,796,0.2449230769230769,0.6352753391859537,457,626.5,626.5
item_run_0292,item_pca20_l2_cosine,20,pca20_l2,cosine,21,25.0,0.124621,3250,2,2006,0.6172307692307692,1244,0.38276923076923075,777,0.23907692307692308,0.6245980707395499,467,622.0,622.0
item_run_0805,item_standardized_l2_cosine,64,standardized_l2,cosine,33,25.0,0.237709,3250,2,2048,0.6301538461538462,1202,0.3698461538461538,759,0.23353846153846153,0.6314475873544093,443,601.0,601.0
item_run_0102,item_pca10_l2_cosine,10,pca10_l2,cosine,11,25.0,0.052998,3250,2,2071,0.6372307692307693,1179,0.3627692307692308,736,0.22646153846153846,0.6242578456318915,443,589.5,589.5
item_run_0026,item_l2_cosine,64,l2,cosine,33,25.0,0.237177,3250,2,2084,0.6412307692307693,1166,0.3587692307692308,948,0.2916923076923077,0.8130360205831904,218,583.0,583.0
item_run_0538,item_pca30_l2_cosine,30,pca30_l2,cosine,60,20.0,0.163571,3250,2,2112,0.6498461538461539,1138,0.35015384615384615,754,0.232,0.6625659050966608,384,569.0,569.0
item_run_0258,item_pca20_l2_cosine,20,pca20_l2,cosine,5,45.0,0.159456,3250,3,1499,0.4612307692307692,1751,0.5387692307692308,964,0.2966153846153846,0.5505425471159338,5,782.0,583.6666666666666
item_run_0257,item_pca20_l2_cosine,20,pca20_l2,cosine,5,40.0,0.144551,3250,3,1657,0.5098461538461538,1593,0.49015384615384616,903,0.27784615384615385,0.5668549905838042,12,678.0,531.0
