rank,k_distance
1,0.26874777096057856
2,0.270957854549434
3,0.2713451262034283
4,0.27973786133017453
5,0.2804330970459987
6,0.28109766070078523
7,0.281926036248364
8,0.28267121590530975
9,0.2869261009271433
10,0.2871042186301923
11,0.28740098350020504
12,0.2899454591314976
13,0.2909741460640948
14,0.29387385843163627
15,0.29534247061571595
16,0.2955943494883224
17,0.2969457102718951
18,0.2971643936187137
19,0.2972913394446238
20,0.2988305696300231
21,0.29975522595775306
22,0.3008514992149003
23,0.3012547256724305
24,0.30174247241353025
25,0.3021580993662649
26,0.3043247367954678
27,0.3073607849300427
28,0.309583425506195
29,0.3115745647900835
30,0.3123475348963949
31,0.31244749869282673
32,0.31336961055454227
33,0.3157646577829686
34,0.3158488170934526
35,0.3158610500973953
36,0.31617528326580113
37,0.31643121012996456
38,0.31647537856327157
39,0.3169178758851806
40,0.31697080880340367
41,0.31784618651278684
42,0.31799523817054387
43,0.3183434914603819
44,0.3192781382411749
45,0.3194326004548269
46,0.31972962487489853
47,0.32255635573149766
48,0.3226070140053805
49,0.32542485496735885
50,0.32753206250063016
51,0.3278569794821722
52,0.3284169525762135
53,0.32885975725199035
54,0.32893152243329704
55,0.3292386737730867
56,0.32940404910945353
57,0.3301375905655123
58,0.3309247484927451
59,0.331720987283716
60,0.3323853576791611
61,0.332557293320656
62,0.3330796531627014
63,0.33363609193907984
64,0.3343143932575209
65,0.3343684326708689
66,0.33480965958275366
67,0.3353210346051827
68,0.3355153282694663
69,0.3357720448030296
70,0.3360563427828792
71,0.3363216671801319
72,0.3372754353424423
73,0.3374317987994242
74,0.3389069847709878
75,0.3393530904458376
76,0.3397663274198309
77,0.33994618724914727
78,0.34007631986824316
79,0.34017284443663076
80,0.3402033531629417
81,0.3416737178425806
82,0.34207406858474865
83,0.34209522250528757
84,0.3426189559426164
85,0.3441423069312889
86,0.3444195453906841
87,0.3448646379994307
88,0.34504057177338887
89,0.3450592481399606
90,0.3458370493530064
91,0.3458622859567434
92,0.34644471574084346
93,0.3467159356012339
94,0.34678043606486153
95,0.34690754143539393
96,0.3476917822692305
97,0.34830902217928217
98,0.34837190152007036
99,0.34851395043414923
100,0.3485164296925448
101,0.34905093924540653
102,0.3491206321733843
103,0.34918574205294695
104,0.3492210183439005
105,0.3492253819618818
106,0.349583504933496
