role,experiment,pair_sampling_scheme,source,sampling_strategy,validation_macro_accuracy,validation_auc,used_for_final_export,reason
ablation_best_for_analysis_only,pair_sampling_gap2_random_cap_dim64_lr3em04_reg1em04_bs8192_bias,gap2_random_cap,generate_from_train_df,random_cap,0.7608390566674916,0.8968331906603852,False,"Best validation result in pair-sampling ablation, but not exported because Step 1 already documented the final pair policy."
final_export_for_downstream_steps,pair_sampling_current_step1_gap2_stratified_cap_dim64_lr3em04_reg1em04_bs8192_bias,current_step1_gap2_stratified_cap,existing_step1_pairs,stratified_cap,0.7576079589130686,0.8960241612059001,True,Uses the existing Step 1 train_pairs parquet generated by the documented Step 1 policy: proportional_stratified_by_rating_diff_with_user_cap.
