sweep,parameter,n_experiments,best_experiment,best_value,best_validation_macro_accuracy,worst_experiment,worst_value,worst_validation_macro_accuracy,validation_macro_accuracy_range,used_for_final_export_selection
pair_sampling_ablation,pair_sampling_scheme,4,pair_sampling_gap2_random_cap_dim64_lr3em04_reg1em04_bs8192_bias,gap2_random_cap,0.7608390566674916,pair_sampling_gap3_stratified_cap_dim64_lr3em04_reg1em04_bs8192_bias,gap3_stratified_cap,0.7429596433086918,0.017879413358799834,False
learning_rate_sweep,learning_rate,2,lr_sweep_dim64_lr3em04_reg1em04_bs16384_bias,0.0003,0.756726201775643,lr_sweep_dim64_lr3em03_reg1em04_bs16384_bias,0.003,0.745032739218502,0.011693462557140988,True
embedding_dim_sweep,embedding_dim,2,dim_sweep_dim64_lr1em03_reg1em04_bs16384_bias,64,0.7523015897672283,dim_sweep_dim16_lr1em03_reg1em04_bs16384_bias,16,0.7457178383980876,0.006583751369140689,True
batch_size_sweep,batch_size,3,bs_sweep_dim64_lr3em04_reg1em04_bs8192_bias,8192,0.7576079589130686,bs_sweep_dim64_lr3em04_reg1em04_bs65536_bias,65536,0.7557693808232687,0.0018385780897999249,True
regularization_sweep,reg_lambda,4,reg_sweep_dim32_lr1em03_reg1em04_bs16384_bias,0.0001,0.7515716701452893,reg_sweep_dim32_lr1em03_reg3em05_bs16384_bias,3e-05,0.7514316560060634,0.00014001413922581918,True
