pair_sampling_scheme,pair_min_diff,sampling_strategy,train_pairs_used,train_users_used,train_items_used,best_epoch,validation_macro_accuracy_best,validation_micro_accuracy_best,validation_auc_best,validation_log_loss_best,validation_brier_best,total_time_sec,macro_generalization_gap,ablation_rank,is_ablation_best,used_for_final_export,final_export_note
gap2_random_cap,2.0,random_cap,5692244.0,4722.0,3250.0,6,0.7608390566674916,0.8090035934055361,0.8968331906603852,0.40256336403265397,0.13065165281295776,774.02,0.18781209403148857,1,True,False,Ablation-only variant; not used for final downstream embeddings.
current_step1_gap2_stratified_cap,2.0,stratified_cap,5692244.0,4722.0,3250.0,6,0.7576079589130686,0.8084325807679597,0.8960241612059001,0.40407480545279395,0.13118578493595123,773.03,0.19071335542136858,2,False,True,Used for final export because it matches the documented Step 1 final pair policy.
gap1_stratified_cap,1.0,stratified_cap,7456275.0,4722.0,3250.0,4,0.7529509215759186,0.8017979577408816,0.8901774236763478,0.42565334714560893,0.1379634141921997,810.41,0.10272754027379105,3,False,False,Ablation-only variant; not used for final downstream embeddings.
gap3_stratified_cap,3.0,stratified_cap,3446386.0,4534.0,3250.0,10,0.7429596433086918,0.8006810319223255,0.8884090190102886,0.43663753603688965,0.13924334943294525,662.59,0.2447071677721372,4,False,False,Ablation-only variant; not used for final downstream embeddings.
