split,pairs,users,comparison_accuracy_micro,comparison_accuracy_macro_user,roc_auc_symmetric,brier_positive_pairs,log_loss_positive_pairs,mean_score_diff,median_score_diff
train_final_step1_pairs,5692244,4722,0.9394080787822869,0.9483213143344372,0.9852128630914161,0.0508325956761837,0.1847875642238495,2.899383783340454,2.6850976943969727
validation_pairs,478098,4158,0.8084325807679597,0.7576079589130686,0.8960241612059001,0.13118578493595123,0.40407480545279395,1.9034708738327026,1.559962511062622
test_pairs,507550,4164,0.817919416806226,0.7741385257326419,0.903074113511336,0.12610980868339539,0.39435816448820205,2.023247003555298,1.7217079401016235
