score_source,aggregation,groups,mean_delta_group_ndcg_10,mean_delta_jain_fairness,mean_delta_worst_member_satisfaction,mean_delta_std_satisfaction,mean_delta_minority_cluster_satisfaction,mean_delta_minority_zero_satisfaction_rate,mean_delta_cluster_satisfaction_gap,mean_delta_zero_satisfaction_share,mean_delta_member_hit_share
hybrid_mf_bayes,dbscan_minority_nash,200,0.0008723219671768567,-0.0015543879864663326,0.0,-0.00017846957638966012,-0.005784081310115503,0.02,-0.00037524403136373957,0.0016666666666666668,-0.0016666666666666666
hybrid_mf_bayes,nash_welfare,200,0.0009832089232447434,-0.0010025774782438798,0.0,5.546804809151328e-05,-0.0021551978366677214,0.02,-0.0005459742350016265,0.0016666666666666668,-0.0016666666666666666
hybrid_mf_bayes,tuned_fairness,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mf,dbscan_minority_nash,200,-0.0007823112883113745,0.001751957201577215,0.0,-0.001497776538568461,-0.004812889885934126,0.02,-0.0014959396472406406,-0.0016666666666666666,0.0016666666666666666
mf,nash_welfare,200,0.0013491120123597822,0.003378145829609892,0.0,0.00010976692589032377,0.00019857890461135702,0.0,0.0005099178317114595,-0.003333333333333333,0.003333333333333333
mf,tuned_fairness,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating_user_knn,dbscan_minority_nash,200,-0.004178267164895462,-0.006538585658007947,0.0,-0.0027684968115017122,-0.018422591047271012,0.08,-0.004695134805230769,0.006666666666666667,-0.006666666666666666
rating_user_knn,nash_welfare,200,-0.0005335039815587471,-0.0015385856580079468,0.0,-0.0004141590687488418,-0.0008405613351157779,0.02,-0.0002130866106594415,0.0016666666666666668,-0.0016666666666666666
rating_user_knn,tuned_fairness,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
