embedding_distance_bin,score_source,aggregation,groups,mean_group_ndcg_10,mean_member_ndcg_10,mean_worst_member_satisfaction,mean_jain_fairness
low,mf,nash_welfare,67,0.07179268745797657,0.02957924802762615,0.0,0.19137552744556302
low,mf,average,67,0.06993452168836124,0.02871004245155138,0.0,0.18640131831664117
low,mf,tuned_fairness,67,0.06993452168836124,0.02871004245155138,0.0,0.18640131831664117
low,mf,dbscan_minority_nash,67,0.06882999682806067,0.028347126465403858,0.0,0.1864004030674536
low,hybrid_mf_bayes,average,67,0.06697800462840886,0.026765074620476947,0.0,0.17617301956944095
low,hybrid_mf_bayes,tuned_fairness,67,0.06697800462840886,0.026765074620476947,0.0,0.17617301956944095
low,hybrid_mf_bayes,nash_welfare,67,0.06688316885281519,0.026733462695279056,0.0,0.17617301956944095
low,hybrid_mf_bayes,dbscan_minority_nash,67,0.06379182408004377,0.025542510337564894,0.0,0.17617301956944095
low,hybrid_mf_bayes,least_misery,67,0.05639076909263918,0.0224447310364003,0.0,0.1580993795702198
low,mf,least_misery,67,0.052802896981391755,0.021951923161361023,0.0,0.163247502416876
low,rating_user_knn,average,67,0.04089546146033295,0.017293947829149576,0.0,0.12191645670159812
low,rating_user_knn,tuned_fairness,67,0.04089546146033295,0.017293947829149576,0.0,0.12191645670159812
low,rating_user_knn,nash_welfare,67,0.03941513015307308,0.016495005262654048,0.0,0.11732366369261917
low,rating_user_knn,dbscan_minority_nash,67,0.03922152618331811,0.01641315613260102,0.0,0.11234853931450972
low,rating_user_knn,least_misery,67,0.03125656482301683,0.012565117491193357,0.0,0.08414504810437
medium,mf,nash_welfare,67,0.07683046862825156,0.036890377038216134,0.0,0.14065826906311923
medium,mf,average,67,0.07538986448691126,0.03626822356161818,0.0,0.13550139807026587
medium,mf,tuned_fairness,67,0.07538986448691126,0.03626822356161818,0.0,0.13550139807026587
medium,mf,dbscan_minority_nash,67,0.07267571371017997,0.03538484734184197,0.0,0.13651686217657985
medium,mf,least_misery,67,0.06998593686219928,0.033605663592023514,0.0,0.0986672823615634
medium,hybrid_mf_bayes,dbscan_minority_nash,67,0.06392304807643868,0.029471285787558667,0.0,0.120486184843918
medium,hybrid_mf_bayes,nash_welfare,67,0.06044092384951971,0.02801527001113208,0.0,0.11738996961176325
medium,hybrid_mf_bayes,average,67,0.05920188217551356,0.027537711561263067,0.0,0.11738996961176325
medium,hybrid_mf_bayes,tuned_fairness,67,0.05920188217551356,0.027537711561263067,0.0,0.11738996961176325
medium,hybrid_mf_bayes,least_misery,67,0.057775281638457375,0.02699284248633856,0.0,0.11207055382990848
medium,rating_user_knn,average,67,0.03174774351334345,0.01426684259053385,0.0,0.09442560901168628
medium,rating_user_knn,tuned_fairness,67,0.03174774351334345,0.01426684259053385,0.0,0.09442560901168628
medium,rating_user_knn,nash_welfare,67,0.03174730270737791,0.014297774289948106,0.0,0.09442560901168628
medium,rating_user_knn,least_misery,67,0.027390285909759816,0.013348491036603639,0.0,0.08381237377782065
medium,rating_user_knn,dbscan_minority_nash,67,0.024672800017010037,0.011831958877806914,0.0,0.09442560901168628
high,hybrid_mf_bayes,least_misery,66,0.06015923310515678,0.030468407946382378,0.0,0.1440641475030315
high,hybrid_mf_bayes,nash_welfare,66,0.058571804648103964,0.027159393288390465,0.0,0.13179884509189585
high,hybrid_mf_bayes,dbscan_minority_nash,66,0.0578390832141424,0.02719414974913412,0.0,0.12698356445251918
high,hybrid_mf_bayes,average,66,0.05675392601999317,0.02729802099976705,0.0,0.13483695866233184
high,hybrid_mf_bayes,tuned_fairness,66,0.05675392601999317,0.02729802099976705,0.0,0.13483695866233184
high,mf,dbscan_minority_nash,66,0.0549079240029255,0.027372399515254116,0.0,0.14682612995000546
high,mf,nash_welfare,66,0.05414149685775988,0.02667865812738605,0.0,0.14249931375114278
high,mf,average,66,0.05340202991173066,0.02585444979873054,0.0,0.1425470895426119
high,mf,tuned_fairness,66,0.05340202991173066,0.02585444979873054,0.0,0.1425470895426119
high,mf,least_misery,66,0.0431984443760424,0.023799965191225677,0.0010038518705210461,0.10977133614861402
high,rating_user_knn,average,66,0.024496731631767566,0.01113054258743496,0.0,0.08518489470984698
high,rating_user_knn,tuned_fairness,66,0.024496731631767566,0.01113054258743496,0.0,0.08518489470984698
high,rating_user_knn,nash_welfare,66,0.024383260954106267,0.011052365215363102,0.0,0.08518489470984698
high,rating_user_knn,dbscan_minority_nash,66,0.020716753523210618,0.009023894411122035,0.0,0.07508388460883687
high,rating_user_knn,least_misery,66,0.020532320156297974,0.00900306949718859,0.0,0.06060606060606061
