user_idx,user_id,user_cluster,score_source,precision_10,recall_10,hit_rate_10,ndcg_10
1436,1841,-1,mf,0.0,0.0,0.0,0.0
1436,1841,-1,rating_user_knn,0.0,0.0,0.0,0.0
1437,1842,1,mf,0.0,0.0,0.0,0.0
1437,1842,1,rating_user_knn,0.0,0.0,0.0,0.0
1438,1843,1,mf,0.0,0.0,0.0,0.0
1438,1843,1,rating_user_knn,0.0,0.0,0.0,0.0
1439,1845,1,mf,0.0,0.0,0.0,0.0
1439,1845,1,rating_user_knn,0.0,0.0,0.0,0.0
1440,1846,1,mf,0.0,0.0,0.0,0.0
1440,1846,1,rating_user_knn,0.0,0.0,0.0,0.0
1441,1847,0,mf,0.1,0.16666666666666666,1.0,0.19092086617893467
1441,1847,0,rating_user_knn,0.0,0.0,0.0,0.0
1442,1850,0,mf,0.4,0.4444444444444444,1.0,0.36293148004649567
1442,1850,0,rating_user_knn,0.0,0.0,0.0,0.0
1443,1851,1,mf,0.1,0.1111111111111111,1.0,0.14829723057014912
1443,1851,1,rating_user_knn,0.1,0.1111111111111111,1.0,0.06794340091829076
1444,1852,1,mf,0.0,0.0,0.0,0.0
1444,1852,1,rating_user_knn,0.0,0.0,0.0,0.0
1445,1853,1,mf,0.0,0.0,0.0,0.0
1445,1853,1,rating_user_knn,0.0,0.0,0.0,0.0
1446,1854,-1,mf,0.4,0.2857142857142857,1.0,0.5103515512676449
1446,1854,-1,rating_user_knn,0.0,0.0,0.0,0.0
1447,1855,1,mf,0.0,0.0,0.0,0.0
1447,1855,1,rating_user_knn,0.0,0.0,0.0,0.0
1448,1856,1,mf,0.1,0.07142857142857142,1.0,0.08514311764162101
1448,1856,1,rating_user_knn,0.0,0.0,0.0,0.0
1449,1857,-1,mf,0.0,0.0,0.0,0.0
1449,1857,-1,rating_user_knn,0.0,0.0,0.0,0.0
1450,1858,-1,mf,0.1,0.125,1.0,0.08431423425588572
1450,1858,-1,rating_user_knn,0.0,0.0,0.0,0.0
1451,1859,1,mf,0.0,0.0,0.0,0.0
1451,1859,1,rating_user_knn,0.0,0.0,0.0,0.0
1452,1860,-1,mf,0.0,0.0,0.0,0.0
1452,1860,-1,rating_user_knn,0.0,0.0,0.0,0.0
1453,1861,1,mf,0.0,0.0,0.0,0.0
1453,1861,1,rating_user_knn,0.1,0.03571428571428571,1.0,0.06362078819895173
1454,1863,1,mf,0.1,0.08333333333333333,1.0,0.1100458831490401
1454,1863,1,rating_user_knn,0.0,0.0,0.0,0.0
1455,1865,-1,mf,0.0,0.0,0.0,0.0
1455,1865,-1,rating_user_knn,0.0,0.0,0.0,0.0
1456,1866,-1,mf,0.0,0.0,0.0,0.0
1456,1866,-1,rating_user_knn,0.0,0.0,0.0,0.0
1457,1867,0,mf,0.0,0.0,0.0,0.0
1457,1867,0,rating_user_knn,0.0,0.0,0.0,0.0
1458,1868,-1,mf,0.1,0.14285714285714285,1.0,0.11838279295536291
1458,1868,-1,rating_user_knn,0.0,0.0,0.0,0.0
1459,1869,-1,mf,0.0,0.0,0.0,0.0
1459,1869,-1,rating_user_knn,0.0,0.0,0.0,0.0
1460,1870,0,mf,0.0,0.0,0.0,0.0
1460,1870,0,rating_user_knn,0.0,0.0,0.0,0.0
1461,1871,-1,mf,0.0,0.0,0.0,0.0
1461,1871,-1,rating_user_knn,0.0,0.0,0.0,0.0
1462,1873,-1,mf,0.1,0.2,1.0,0.3391602052736161
1462,1873,-1,rating_user_knn,0.0,0.0,0.0,0.0
1463,1874,1,mf,0.0,0.0,0.0,0.0
1463,1874,1,rating_user_knn,0.0,0.0,0.0,0.0
1464,1875,-1,mf,0.1,0.030303030303030304,1.0,0.07839826897867534
1464,1875,-1,rating_user_knn,0.0,0.0,0.0,0.0
