group_type,score_source,aggregation,groups,mean_group_ndcg_10,mean_member_ndcg_10,mean_worst_member_satisfaction,mean_jain_fairness,mean_minority_cluster_satisfaction,mean_minority_zero_satisfaction_rate,mean_cluster_satisfaction_gap,mean_zero_satisfaction_share,mean_member_hit_share
diverse_balanced,mf,dbscan_minority_nash,50,0.04825209427567592,0.018975383795484687,0.0,0.12657642323419213,,,0.05379762654630235,0.8733333333333333,0.12666666666666665
diverse_balanced,mf,nash_welfare,50,0.04825209427567592,0.018975383795484687,0.0,0.12657642323419213,,,0.05379762654630235,0.8733333333333333,0.12666666666666665
diverse_balanced,mf,least_misery,50,0.0480701448785851,0.02217476832473576,0.0013250844690877808,0.10374222639862665,,,0.05557572387552906,0.8933333333333333,0.10666666666666666
diverse_balanced,mf,average,50,0.04502053418181747,0.017357876781934126,0.0,0.12,,,0.05207363034580238,0.88,0.12
diverse_balanced,mf,tuned_fairness,50,0.04502053418181747,0.017357876781934126,0.0,0.12,,,0.05207363034580238,0.88,0.12
diverse_balanced,hybrid_mf_bayes,dbscan_minority_nash,50,0.03578764947862373,0.012972045773511577,0.0,0.08,,,0.038916137320534734,0.92,0.08
diverse_balanced,hybrid_mf_bayes,nash_welfare,50,0.03578764947862373,0.012972045773511577,0.0,0.08,,,0.038916137320534734,0.92,0.08
diverse_balanced,hybrid_mf_bayes,least_misery,50,0.034170641145926536,0.014225509185688512,0.0,0.0963612148993843,,,0.04128790311832999,0.9,0.1
diverse_balanced,hybrid_mf_bayes,average,50,0.03341654525242359,0.013251667801452857,0.0,0.07694710130308202,,,0.038052141051526156,0.92,0.08
diverse_balanced,hybrid_mf_bayes,tuned_fairness,50,0.03341654525242359,0.013251667801452857,0.0,0.07694710130308202,,,0.038052141051526156,0.92,0.08
diverse_balanced,rating_user_knn,dbscan_minority_nash,50,0.02197503373161184,0.009436649808842673,0.0,0.08631282998468288,,,0.024084459599301212,0.9133333333333333,0.08666666666666666
diverse_balanced,rating_user_knn,nash_welfare,50,0.02197503373161184,0.009436649808842673,0.0,0.08631282998468288,,,0.024084459599301212,0.9133333333333333,0.08666666666666666
diverse_balanced,rating_user_knn,average,50,0.02178271947704708,0.009326530814338761,0.0,0.08606812514876822,,,0.023960114167655908,0.9133333333333333,0.08666666666666666
diverse_balanced,rating_user_knn,tuned_fairness,50,0.02178271947704708,0.009326530814338761,0.0,0.08606812514876822,,,0.023960114167655908,0.9133333333333333,0.08666666666666666
diverse_balanced,rating_user_knn,least_misery,50,0.018086691535849932,0.006744962900070301,0.0,0.06,,,0.018666923320637394,0.94,0.06
diverse_minority,mf,average,50,0.08847938123733101,0.03863238450061423,0.0,0.1640574783437171,0.03511026802815696,0.82,0.07403643232301262,0.8333333333333333,0.16666666666666663
diverse_minority,mf,tuned_fairness,50,0.08847938123733101,0.03863238450061423,0.0,0.1640574783437171,0.03511026802815696,0.82,0.07403643232301262,0.8333333333333333,0.16666666666666663
diverse_minority,mf,nash_welfare,50,0.08837321181516511,0.03872420561447325,0.0,0.16450554879120932,0.035308846932768326,0.82,0.07435210744935848,0.8333333333333333,0.16666666666666663
diverse_minority,hybrid_mf_bayes,average,50,0.07994409993341617,0.03456742328097267,0.0,0.14601713973569974,0.032961892829030115,0.84,0.06613116367299327,0.8533333333333333,0.14666666666666667
diverse_minority,hybrid_mf_bayes,tuned_fairness,50,0.07994409993341617,0.03456742328097267,0.0,0.14601713973569974,0.032961892829030115,0.84,0.06613116367299327,0.8533333333333333,0.14666666666666667
diverse_minority,mf,dbscan_minority_nash,50,0.0798475186124805,0.035971491559939846,0.0,0.1580007942790786,0.030297378142222837,0.84,0.0663286775335501,0.84,0.16
diverse_minority,hybrid_mf_bayes,nash_welfare,50,0.0778534672733863,0.03305046017012533,0.0,0.13302283711064383,0.030806694992362393,0.86,0.06308327046397817,0.8666666666666667,0.13333333333333333
diverse_minority,hybrid_mf_bayes,dbscan_minority_nash,50,0.07740991944911475,0.0334515236793816,0.0,0.13081559507775403,0.027177811518914612,0.86,0.06376619127852971,0.8666666666666667,0.13333333333333333
diverse_minority,hybrid_mf_bayes,least_misery,50,0.06914180757320443,0.030745938142784767,0.0,0.12666666666666665,0.029590517815043692,0.88,0.060914166121699,0.8733333333333333,0.12666666666666665
diverse_minority,mf,least_misery,50,0.06629211861051053,0.028183381754880044,0.0,0.10387796763949755,0.028469905364568913,0.9,0.056510025314604515,0.8933333333333333,0.10666666666666666
diverse_minority,rating_user_knn,average,50,0.0424035886250207,0.01864067605138551,0.0,0.10666666666666667,0.031072228205229133,0.84,0.043497128179692826,0.8933333333333333,0.10666666666666666
diverse_minority,rating_user_knn,tuned_fairness,50,0.0424035886250207,0.01864067605138551,0.0,0.10666666666666667,0.031072228205229133,0.84,0.043497128179692826,0.8933333333333333,0.10666666666666666
diverse_minority,rating_user_knn,nash_welfare,50,0.04161246287817669,0.018269735246902053,0.0,0.1,0.030231666870113357,0.86,0.042520436305409755,0.9,0.1
diverse_minority,rating_user_knn,dbscan_minority_nash,50,0.027033410144829823,0.012178283298763588,0.0,0.08,0.01264963715795812,0.92,0.024592243527124445,0.92,0.07999999999999999
diverse_minority,rating_user_knn,least_misery,50,0.02422213053070887,0.010793140191430873,0.0,0.06,0.017538792058948708,0.92,0.024959106316620662,0.94,0.06
homogeneous_cluster_0,hybrid_mf_bayes,least_misery,50,0.07613260785095283,0.03980920859011793,0.0,0.16397800193669465,,,0.0,0.8266666666666667,0.1733333333333333
homogeneous_cluster_0,hybrid_mf_bayes,dbscan_minority_nash,50,0.07323727669645583,0.03789142130620524,0.0,0.15825419769042143,,,0.0,0.8333333333333333,0.16666666666666663
homogeneous_cluster_0,hybrid_mf_bayes,nash_welfare,50,0.07323727669645583,0.03789142130620524,0.0,0.15825419769042143,,,0.0,0.8333333333333333,0.16666666666666663
homogeneous_cluster_0,mf,dbscan_minority_nash,50,0.07168755484617241,0.04037076362314723,0.0,0.14549797623677538,,,0.0,0.8466666666666667,0.15333333333333332
homogeneous_cluster_0,mf,nash_welfare,50,0.07168755484617241,0.04037076362314723,0.0,0.14549797623677538,,,0.0,0.8466666666666667,0.15333333333333332
homogeneous_cluster_0,mf,average,50,0.07101314087532387,0.039541935863097455,0.0,0.14567655326668683,,,0.0,0.8466666666666667,0.15333333333333332
homogeneous_cluster_0,mf,tuned_fairness,50,0.07101314087532387,0.039541935863097455,0.0,0.14567655326668683,,,0.0,0.8466666666666667,0.15333333333333332
homogeneous_cluster_0,hybrid_mf_bayes,average,50,0.06945783263035162,0.03563789642360924,0.0,0.15232310367525903,,,0.0,0.84,0.15999999999999998
