model,model_family,split,feature_set,accuracy,macro_user_accuracy,auc,brier_score,log_loss,mean_forward_probability,n_bins,strategy,alpha,k,weighting
mf_baseline,matrix_factorization,test,mf_margin,0.817919416806226,0.7741385257326419,0.903074113845178,0.1261097985487998,0.3943581655510834,0.7533575702800159,,,,,
bayes_user_item_interactions,bayesian_categorical_nb,test,user_item_interactions,0.8116047680031524,0.7652935116713468,0.8979726023014456,0.170504873459093,1.6681274980975325,0.8096545338630676,16.0,quantile,0.1,,
rating_user_knn_k_50_uniform,rating_user_knn,test,centered_train_ratings,0.7787252487439661,0.7139915944071419,0.8597843408468682,0.1594238143632458,0.490201493542156,0.6460405414090236,,,,50.0,uniform
mf_baseline,matrix_factorization,train_sample,mf_margin,0.9390766666666668,0.947161340947218,0.9851159281555556,0.0509744969095217,0.1851887533661549,0.8617014043554678,,,,,
rating_user_knn_k_50_uniform,rating_user_knn,train_sample,centered_train_ratings,0.9126166666666666,0.9324044575837817,0.969225586372222,0.0985725280689096,0.3496974240588098,0.7243083617486124,,,,50.0,uniform
bayes_user_item_interactions,bayesian_categorical_nb,train_sample,user_item_interactions,0.9194566666666668,0.9279878091471402,0.9733385325999998,0.0712182419248764,0.5796763393623721,0.9169641733169556,16.0,quantile,0.1,,
mf_baseline,matrix_factorization,validation,mf_margin,0.8084325807679597,0.7576079589130686,0.8960241608821591,0.1311857948732951,0.4040748065967444,0.741683043924397,,,,,
bayes_user_item_interactions,bayesian_categorical_nb,validation,user_item_interactions,0.8004530451915716,0.7483600636549447,0.8894842486961949,0.179916104094667,1.658191499679987,0.7984878420829773,16.0,quantile,0.1,,
rating_user_knn_k_50_uniform,rating_user_knn,validation,centered_train_ratings,0.7734104723299408,0.7065575533035746,0.855531035645001,0.1630291211390616,0.4989050866630686,0.6379379499845423,,,,50.0,uniform
